姓名,性别,民族,出生地,出生日期,毕业院校,专业背景,担任职务,年龄
李凤彪,男,汉族,河北,1959-10-01 00:00:00,国防大学,"战略学专业毕业,研究生学历",中国人民解放军中部战区副司令员兼参谋长,58.0
李玉赋,男,汉族,江苏,1954-10-01 00:00:00,北京大学,经济学博士,中华全国总工会党组书记、副主席、书记处第一书记,63.0
李传广,男,汉族,山东,1961-03-01 00:00:00,,,中国人民解放军火箭军参谋长,56.0
李纪恒,男,汉族,广西,1957-01-01 00:00:00,中国社会科学院,"管理学博士,高级经济师","内蒙古自治区党委书记,自治区人大常委会主任、党组书记",60.0
李克强,男,汉族,安徽,1955-07-01 00:00:00,北京大学,法学学士、经济学博士学位,"中央政治局常委,国务院总理、党组书记",62.0
李作成,男,汉族,湖南,1953-10-01 00:00:00,广西师范大学,"马克思主义理论与思想政治教育专业毕业,研究生学历","中国共产党中央军事委员会委员,中国共产党中央军事委员会联合参谋部参谋长",64.0
李尚福,男,汉族,四川,1958-02-01 00:00:00,国防科技大学,,中央军委装备发展部部长,59.0
李国英,男,汉族,河南,1963-12-01 00:00:00,东北师范大学,理学博士,"安徽省委副书记,省人民政府省长、党组书记,安徽省总河长",54.0
李桥铭,男,汉族,河南,1961-04-01 00:00:00,,,中国人民解放军北部战区司令员,56.0
李晓红,男,汉族,重庆,1959-06-01 00:00:00,"重庆大学,加州大学伯克利分校",中国工程院院士,中国工程院党组书记,58.0
李鸿忠,男,汉族,山东,1956-08-01 00:00:00,吉林大学,"大学学历,经济师","中央政治局委员,天津市委书记",61.0
李锦斌,男,汉族,四川,1958-02-01 00:00:00,吉林大学,法学博士,"安徽省委书记,省人大常委会主任、党组书记,安徽省总河长",59.0
杨学军,男,汉族,山东,1963-04-01 00:00:00,解放军通信工程学院,工学博士、中国科学院院士,中国人民解放军军事科学院院长,54.0
杨洁篪,男,汉族,上海,1950-05-01 00:00:00,南京大学,历史学博士,"中央政治局委员,国务委员、国务院党组成员,中央外事工作领导小组办公室主任,中央维护海洋权益工作领导小组办公室主任",67.0
杨振武,男,汉族,河北,1955-05-01 00:00:00,中央党校,"中央党校研究生学历,高级编辑",人民日报社社长,62.0
杨晓渡,男,汉族,上海,1953-10-01 00:00:00,中央党校,中央党校研究生学历,"中央政治局委员、中央书记处书记,中央纪律检查委员会副书记、监察部部长、国家预防腐败局局长",64.0
肖捷,男,汉族,辽宁,1957-06-01 00:00:00,财政部财政科学研究所,经济学博士,"中央国家机关工委书记,国务院机关党组书记、副秘书长,财政部党组书记、部长",60.0
肖亚庆,男,汉族,北京,1905-05-12 00:00:00,中南矿冶学院（现中南大学）,教授级高级工程师,国务院国有资产监督管理委员会主任、党委副书记,62.0
吴社洲,男,汉族,湖北,1905-05-11 00:00:00,,军人,中国人民解放军西部战区政委,61.0
吴英杰,男,汉族,山东,1956-12-01 00:00:00,中央党校,中央党校研究生学历,"西藏自治区党委书记,西藏军区党委第一书记",61.0
吴政隆,男,汉族,江苏,1964-11-01 00:00:00,中北大学,"工学学士学位,高级工程师","江苏省委副书记、省长、省政府党组书记,江苏省总河长",53.0
邱学强,男,汉族,山东,1957-08-01 00:00:00,中央党校,中央党校研究生学历,"最高人民检察院副检察长、党组副书记、检察官遴选委员会副主任、检察委员会委员,一级大检察官",60.0
何平,男,汉族,,,,,中国人民解放军东部战区政委,
何立峰,男,汉族,广东,1955-02-01 00:00:00,厦门大学,经济学博士,国家发展和改革委员会主任、党组书记,62.0
应勇,男,汉族,浙江,1957-11-01 00:00:00,中央党校,法学硕士,"上海市委副书记、市长,上海国际旅游度假区管委会主任,中国浦东干部学院第一副院长,上海市总河长",60.0
魏凤和,男,汉族,山东,1954-02-01 00:00:00,国防大学,合同战役指挥专业,中国共产党中央军事委员会委员、中华人民共和国中央军事委员会委员,63.0
穆虹,男,汉族,辽宁,1956-12-01 00:00:00,,,"中央全面深化改革领导小组办公室常务副主任,兼任国家发展和改革委员会副主任、党组成员",61.0
潘立刚,男,汉族,北京,1956-05-01 00:00:00,大连海运学院,工学学士,十二届全国政协常务副秘书长、机关党组副书记,61.0
黎火辉,男,汉族,江西,1905-05-16 00:00:00,,,中央军委训练管理部部长,54.0
雒树刚,男,汉族,河北,1955-05-01 00:00:00,中央党校,中央党校研究生,"文化部党组书记、部长,中国思想政治工作研究会会长",62.0
冷溶,男,汉族,山东,1953-08-01 00:00:00,北京大学,哲学,"中国共产党第十九届中央委员会委员,中央文献研究室主任",64.0
汪洋,男,汉族,安徽,1955-03-01 00:00:00,中央党校,工学硕士,"中央政治局常委,国务院副总理、党组成员",62.0
汪永清,男,汉族,江西,1959-09-01 00:00:00,吉林大学,法学博士,"中国共产党第十九届中央委员会委员,中央政法委秘书长,国务院副秘书长、机关党组成员",58.0
沈金龙,男,汉族,上海,1956-10-01 00:00:00,,军人,"中国共产党第十九届中央委员会委员,中国人民解放军海军司令员",61.0
沈晓明,男,汉族,浙江,1963-05-01 00:00:00,上海第二医科大学,医学博士,"中国共产党第十九届中央委员会委员,海南省委副书记,省政府省长、党组书记",54.0
沈跃跃,女,汉族,浙江,1957-01-01 00:00:00,中央党校,经济管理,"中国共产党第十九届中央委员会委员,十二届全国人大常委会副委员长,全国妇联主席",60.0
沈德咏,男,汉族,江西,1954-03-01 00:00:00,中国政法大学,法学硕士,"中国共产党第十九届中央委员会委员,最高人民法院党组副书记（正部长级）、常务副院长、审判委员会委员,一级大法官",63.0
怀进鹏,男,汉族,黑龙江,1962-12-01 00:00:00,"哈尔滨工业大学,北京航空航天大学",工学博士,"中国共产党第十九届中央委员会委员,中国科学技术协会党组书记、常务副主席、书记处第一书记",55.0
宋丹,男,汉族,云南,1956-07-01 00:00:00,西南政法大学,,"中国共产党第十九届中央委员会委员,中央军委政法委书记,中央政法委委员",61.0
宋涛,男,汉族,江苏,1955-04-01 00:00:00,福建师范大学,经济学博士,"中国共产党第十九届中央委员会委员,中央对外联络部部长",62.0
宋秀岩,女,汉族,辽宁,1955-10-01 00:00:00,中央党校,经济管理,"中国共产党第十九届中央委员会委员,全国妇联党组书记、副主席、书记处第一书记",62.0
张军,男,汉族,山东,1956-10-01 00:00:00,"吉林大学,中国人民大学",法学博士,"中国共产党第十九届中央委员会委员,司法部部长、党组书记,中央政法委委员",61.0
张又侠,男,汉族,陕西,1950-07-01 00:00:00,军事学院,军人,"中央政治局委员,中共中央军事委员会副主席,中华人民共和国中央军事委员会委员,上将军衔",67.0
张升民,男,汉族,陕西,1958-02-01 00:00:00,,军人,"中央纪委副书记,中央军委委员,中央军委纪委书记",59.0
张庆伟,男,汉族,河北,1961-11-01 00:00:00,西北工业大学,管理学博士,"中国共产党第十九届中央委员会委员,黑龙江省委书记、省人大常委会主任,省军区党委第一书记",56.0
张庆黎,男,汉族,山东,1951-01-01 00:00:00,中央党校,经济管理,"中国共产党第十九届中央委员会委员,十二届全国政协副主席兼秘书长、机关党组书记",66.0
张纪南,男,汉族,广东,1957-02-01 00:00:00,南开大学,管理学博士,"中国共产党第十九届中央委员会委员,中央机构编制委员会委员、办公室主任",60.0
张国清,男,汉族,河南,1964-08-01 00:00:00,清华大学,经济学博士,"中国共产党第十九届中央委员会委员,重庆市委副书记,市政府市长、党组书记,重庆市总河长",53.0
张春贤,男,汉族,河南,1953-05-01 00:00:00,哈尔滨工业大学,管理学硕士,"中国共产党第十九届中央委员会委员,中央党的建设工作领导小组副组长",64.0
张晓明,男,汉族,江苏,1963-09-01 00:00:00,中国人民大学,法学硕士,"中国共产党第十九届中央委员会委员,国务院港澳事务办公室主任、党组书记",54.0
张裔炯,男,汉族,上海,1955-10-01 00:00:00,中央党校,法学,"中国共产党第十九届中央委员会委员,中国共产党统一战线工作部常务副部长",62.0
陆昊,男,汉族,上海,1967-06-01 00:00:00,北京大学,经济学硕士,"中国共产党第十九届中央委员会委员,黑龙江省委副书记、省长,省政府党组书记",50.0
陈希,男,汉族,福建,1953-09-01 00:00:00,清华大学,工学硕士,"中央政治局委员、中央书记处书记,中央组织部部长,中央党校校长",64.0
陈武,男,壮族,广西,1954-11-01 00:00:00,中央党校,哲学学士,"中国共产党第十九届中央委员会委员,广西壮族自治区党委副书记,自治区人民政府主席、党组书记",63.0
陈豪,男,汉族,江苏,1954-02-01 00:00:00,华东师范大学,工商管理硕士,"中国共产党第十九届中央委员会委员,云南省委书记,省人大常委会主任、党组书记",63.0
陈文清,男,汉族,四川,1960-01-01 00:00:00,西南政法学院,法学,"中国共产党第十九届中央委员会委员,国家安全部部长、党委书记、中央政法委员会委员",57.0
陈吉宁,男,汉族,吉林,1964-02-01 00:00:00,英国帝国理工学院,工学博士,"中国共产党第十九届中央委员会委员,北京市委副书记,副市长、代市长、市政府党组书记,北京冬奥组委党组副书记、执行主席",53.0
陈全国,男,汉族,河南,1955-11-01 00:00:00,武汉理工大学,管理学博士,"中央政治局委员,新疆维吾尔自治区党委书记,新疆生产建设兵团第一政委",62.0
陈求发,男,苗族,湖南,1954-12-01 00:00:00,国防科技大学,电子工程,辽宁省委书记,63.0
陈宝生,男,汉族,甘肃,1956-05-01 00:00:00,北京大学,政治经济学,"中国共产党第十九届中央委员会委员,教育部部长、党组书记",61.0
陈润儿,男,汉族,湖南,1957-10-01 00:00:00,中央党校,经济管理,"中国共产党第十九届中央委员会委员,河南省委副书记,省人民政府省长、党组书记,河南省总河长",60.0
陈敏尔,男,汉族,浙江,1960-09-01 00:00:00,中央党校,法学,"中央政治局委员,重庆市委书记",57.0
努尔兰·阿不都满金,男,哈萨克族,新疆,1962-12-01 00:00:00,"新疆大学,北京师范大学",思想政治,"中国共产党第十九届中央委员会委员,新疆维吾尔自治区政协主席、任自治区政协党组书记",55.0
苗圩,男,汉族,北京,1955-05-01 00:00:00,合肥工业大学,内燃机,"中国共产党第十九届中央委员会委员,工业和信息化部部长、党组书记,兼任国家制造强国建设领导小组副组长",62.0
苗华,男,汉族,福建,1955-11-01 00:00:00,国防科技大学,管理工程,"中国共产党中央军事委员会委员,中央军委政治工作部主任",62.0
苟仲文,男,汉族,甘肃,1957-06-01 00:00:00,西安电子科技大学,"工学硕士,管理学博士","中国共产党第十九届中央委员会委员,国家体育总局局长、党组书记,北京2022年冬奥会和冬残奥会组织委员会执行主席兼中国奥委会主席",60.0
范骁骏,男,汉族,江苏,1956-11-01 00:00:00,,军人,"中国共产党第十九届中央委员会委员,中国人民解放军北部战区政委",61.0
林铎,男,汉族,山东,1956-03-01 00:00:00,中央党校,"法学,经济管理","中国共产党第十九届中央委员会委员,甘肃省委书记,省人大常委会主任,甘肃省军区第一书记",61.0
尚宏,男,汉族,山东,1960-10-01 00:00:00,中北大学,自动控制系自动化,"中国共产党第十九届中央委员会委员,战略支援部队副司令员兼航天系统部司令员",57.0
金壮龙,男,汉族,浙江,1964-03-01 00:00:00,北京航空航天大学、西北工业大学、复旦大学,"工学硕士,经济学博士","中国共产党第十九届中央委员会委员,中央军民融合办常务副主任",53.0
周强,男,汉族,湖北,1960-04-01 00:00:00,西南政法大学,法学硕士,"中国共产党第十九届中央委员会委员,最高人民法院院长、党组书记,首席大法官,中华司法研究会会长",57.0
周亚宁,男,汉族,河北,1957-12-01 00:00:00,,军人,"中国共产党第十九届中央委员会委员,中国人民解放军火箭军司令员",60.0
郑和,男,汉族,上海,1958-11-01 00:00:00,俄罗斯伏龙芝军事学院,军事学硕士,"中国共产党第十九届中央委员会委员,中国人民解放军国防大学校长",59.0
郑卫平,男,汉族,山西,1905-05-08 00:00:00,,军人,"中国共产党第十九届中央委员会委员,中国人民解放军战略支援部队政委",62.0
郑晓松,男,汉族,北京,1959-09-01 00:00:00,奥斯陆大学,挪威语,"中国共产党第十九届中央委员会委员,中央人民政府驻澳门特别行政区联络办公室主任",58.0
孟祥锋,男,汉族,河北,1964-12-01 00:00:00,吉林大学,法学博士,"中国共产党第十九届中央委员会委员,中央直属机关工委常务副书记（正部长级）、中央直属机关党校校长",53.0
赵乐际,男,汉族,陕西,1957-03-01 00:00:00,中央党校,政治学,"中央政治局常委,中央纪律检查委员会书记",60.0
赵克志,男,汉族,山东,1953-12-01 00:00:00,中央党校,社会主义专业,"公安部部长、党委书记,中央政法委委员",64.0
赵宗岐,男,汉族,黑龙江,1905-05-08 00:00:00,,军人,"中国共产党第十九届中央委员会委员,中国人民解放军西部战区司令员",62.0
郝鹏,男,汉族,陕西,1960-07-01 00:00:00,西北工业大学,工程硕士,"中国共产党第十九届中央委员会委员,国务院国有资产监督管理委员会党委书记",57.0
胡和平,男,汉族,山东,1962-10-01 00:00:00,日本东京大学,工学博士,"十九届中央委员,陕西省委书记,省政府省长、党组书记",55.0
胡泽君,女,汉族,重庆,1955-03-01 00:00:00,西南政法学院,法学硕士,"中国共产党第十九届中央委员会委员,审计署党组书记、审计长",62.0
胡春华,男,汉族,湖北,1963-04-01 00:00:00,北京大学,中文,中央政治局委员,54.0
咸辉,女,回族,甘肃,1958-03-01 00:00:00,兰州大学,管理学博士,"中国共产党第十九届中央委员会委员,宁夏回族自治区党委副书记,区政府主席、党组书记,宁夏自治区副总河长",59.0
钟山,男,汉族,浙江,1955-10-01 00:00:00,浙江大学,经济学博士,"中国共产党第十九届中央委员会委员,商务部部长、党组书记",62.0
信春鹰,女,汉族,内蒙古,1956-10-01 00:00:00,吉林大学,法学硕士,"中国共产党第十九届中央委员会委员,全国人大常委会副秘书长、机关党组副书记（正部长级）",61.0
侯建国,男,汉族,福建,1959-10-01 00:00:00,中国科学技术大学,物理学博士,"中国共产党第十九届中央委员会委员,国家质量监督检验检疫总局党组书记、副局长",58.0
娄勤俭,男,汉族,贵州,1956-12-01 00:00:00,华中科技大学,工学博士,"十九届中央委员,江苏省委书记",61.0
洛桑江村,男,藏族,西藏,1957-07-01 00:00:00,中央党校,马克思主义哲学,"中国共产党第十九届中央委员会委员,西藏自治区党委副书记,区人大常委会主任、党组书记",60.0
骆惠宁,男,汉族,安徽,1954-10-01 00:00:00,中国人民大学,经济学博士,"中国共产党第十九届中央委员会委员,山西省委书记,省人大常委会主任、党组书记",63.0
秦生祥,男,汉族,湖北,1957-02-01 00:00:00,中央党校,,"中国共产党第十九届中央委员会委员,中国人民解放军海军政委",60.0
袁家军,男,汉族,吉林,1962-09-01 00:00:00,北京航空学院、航空航天部空间技术研究院,工学博士,"中国共产党第十九届中央委员会委员,浙江省委副书记,省长、省政府党组书记,浙江省总河长,之江实验室理事长",55.0
袁誉柏,男,汉族,湖北,1956-05-01 00:00:00,,军人,"中国共产党第十九届中央委员会委员,中国人民解放军南部战区司令",61.0
袁曙宏,男,汉族,安徽,1958-07-01 00:00:00,北京大学、中国政法大学,法学博士,"中国共产党第十九届中央委员会委员,国务院法制办公室党组书记、副主任",59.0
聂辰席,男,汉族,灵寿,1957-07-01 00:00:00,"中国科技大学,天津大学",管理学博士,"中国共产党第十九届中央委员会委员,中央宣传部副部长,国家新闻出版广电总局局长、党组书记、国家版权局局长,兼中央电视台分党组书记、台长",60.0
栗战书,男,汉族,河北,1950-08-01 00:00:00,河北师范大学,高级工商管理硕士,"中央政治局常委,中央国家安全委员会办公室主任。",67.0
钱小芊,男,汉族,江苏,1955-11-01 00:00:00,中国人民大学,法学学士,"中国共产党第十九届中央委员会委员,中国作家协会党组书记、中国作协副主席",62.0
铁凝,女,汉族,河北,1957-09-01 00:00:00,,,"中国共产党第十九届中央委员会委员,中国文联主席、中国作家协会主席",60.0
倪岳峰,男,汉族,安徽,1964-09-01 00:00:00,清华大学,工学博士,"中国共产党第十九届中央委员会委员,海关总署党组书记、副署长（正部长级）,海关总监关衔",53.0
徐麟,男,汉族,上海,1963-06-01 00:00:00,,工商管理硕士,"中国共产党第十九届中央委员会委员,中央宣传部副部长,中央网络安全和信息化领导小组办公室主任、国家互联网信息办公室主任",54.0
